a,Celtic,,,,,Glasgow Rangers,,,,,Hibernian,,,,,Aberdeen,,,,,Basel,,,,,Young Boys,,,,,Zurich,,,,,Lugano,,,,,Grasshopper,,,,,RB Salzburg,,,,,LASK Linz,,,,,Rapid Viena,,,,,Sturm Graz,,,,,Austria Wien,,,,,Legia Warszawa,,,,,Lech Poznan,,,,,Cracovia,,,,,Wisla Krakow,,,,,
a,C. McGregor,MC VOL,28,77,,J. Tavernier,LD,29,77,,K. Nisbet,ATA,24,70,,L. Ferguson,MC VOL,21,70,,H. Lindner,GOL,30,75,,J. Nsame,ATA,28,78,,Y. Brecher,GOL,28,72,,N. Lavanchy,LD MD LE,27,72,,Tomás Ribeiro,ZAG,22,70,,R. Kristensen,LD,23,77,,T. Goiginger,MD ATA ME,28,73,,F. Stojković,LD ZAG LD,28,73,,J. Gorenc Stanković,VOL ZAG,25,73,,P. Pentz,GOL,24,72,,B. Verbič,ME ATA,27,74,,T. Kędziora,LD ZAG,27,75,,Y. Konoplyanka,ME,31,73,,G. Tsitaishvili,MD ME,20,70,,
a,J. Hart,GOL,34,76,,A. Ramsey,MC MEI ME,30,77,,R. Porteous,ZAG,22,69,,C. Ramirez,ATA MEI,30,70,,Tomás Tavares,LD LE,20,73,,F. Lustenberger,ZAG VOL,33,75,,B. Džemaili,VOL MC MEI,35,71,,S. Lovrič,MC VOL,23,71,,E. Lenjani,LE LE ME,31,70,,M. Camara,VOL MC,21,76,,P. Michorl,MC MEI ATA,26,72,,T. Fountas,MEI ATA ME,25,73,,G. Wüthrich,ZAG,26,72,,M. Suttner,LE ME ZAG,34,71,,R. Strebinger,GOL,28,72,,Pedro Rebocho,LE,26,73,,P. van Amersfoort,MEI MC ATA,25,68,,M. Hanousek,LE,28,67,,
a,J. Juranović,LD LE,25,75,,R. Kent,PE,24,76,,J. Newell,MC VOL,28,68,,R. McCrorie,ZAG MC VOL,23,69,,P. Kasami,MC VOL MEI,29,73,,C. Fassnacht,MD ME,27,75,,A. Marchesano,MEI,30,71,,I. Aliseda,ME MEI,21,71,,A. Abrashi,VOL MC,31,69,,Z. Junuzović,MC VOL MEI,33,75,,A. Schlager,GOL,25,72,,Y. Demir,PD MEI,18,72,,J. Siebenhandl,GOL,31,72,,L. Mühl,ZAG,24,69,,Josué,MEI MC,30,70,,A. Ba Loua,MD,24,72,,V. Ghiță,ZAG,23,67,,M. Frydrych,ZAG VOL,31,67,,
a,T. Rogić,MC MEI,28,75,,A. Morelos,ATA,25,76,,C. Mueller,MD PD,24,68,,D. Gallagher,ZAG,30,67,,F. Chalov,ATA,23,73,,N. Moumi Ngamaleu,ME MD,26,75,,Guerrero,LE LE ME,23,70,,N. Baumann,GOL,25,71,,Li Lei,LE,29,69,,M. Wöber,ZAG,23,74,,P. Wiesinger,ZAG,27,71,,T. Schick,MD LD ME,31,72,,O. Kiteishvili,MEI ME,25,72,,M. Đuričin,ATA,28,68,,P. Wszołek,MD ATA,29,70,,João Amaral,MEI,29,71,,S. Hanca,MD ME,29,67,,Z. Ondrášek,ATA,32,67,,
a,C. Jullien,ZAG,28,75,,G. Kamara,MC,25,75,,P. Hanlon,ZAG,31,68,,D. Bates,ZAG,24,67,,V. Stocker,ME MD MEI,32,72,,M. Aebischer,MC VOL,24,75,,M. Leitner,MC VOL,28,70,,K. Rüegg,LD LD MD,22,70,,P. Pušić,MD MEI ME,22,69,,N. Seiwald,MC VOL,20,74,,S. Horvath,MEI MD ME,24,70,,M. Grüll,ME ATA MD,22,71,,M. Sarkaria,MEI MD MC,24,71,,E. Martel,VOL ZAG,19,67,,F. Mladenović,ME LE,29,70,,M. Ishak,ATA,28,71,,C. Râpă,LD ZAG LD,31,66,,J. Błaszczykowski,MD MEI,35,67,,
a,Jota,PE PD,22,74,,A. McGregor,GOL,39,75,,M. Macey,GOL,26,67,,J. Hayes,LE LE ME,33,67,,F. Frei,VOL ZAG,32,72,,D. von Ballmoos,GOL,26,75,,N. Boranijašević,LD LD MD,29,69,,R. Ziegler,ZAG,35,69,,H. Kawabe,MC VOL MEI,25,68,,K. Adeyemi,ATA,19,74,,A. Gruber,ATA MD ATA,26,70,,C. Knasmüllner,MEI ATA ATA,29,70,,J. Jantscher,ATA,32,70,,M. Fischer,MEI MC ME,25,67,,B. Kapustka,ATA MEI,24,70,,J. Karlström,VOL,26,71,,J. Jugas,ZAG,29,66,,P. Kieszek,GOL,37,66,,
a,K. Furuhashi,ATA PE,26,74,,C. Goldson,ZAG,28,75,,C. Cadden,LD LD,24,67,,A. Considine,ZAG,34,67,,R. Petretta,LE,24,72,,J. Siebatcheu,ATA,25,73,,O. Doumbia,VOL MC,29,69,,M. Valenzuela,LE,22,68,,Léo Bonatini,ATA MEI,27,67,,A. Ulmer,LE,35,74,,R. Renner,ME LE,27,69,,K. Wimmer,ZAG LE,28,69,,S. Hierländer,MD MC,30,70,,A. Grünwald,MC MEI VOL,32,67,,T. Pekhart,ATA,32,69,,D. Kownacki,ATA ME,24,70,,L. Hroššo,GOL,34,65,,M. Poletanović,MC VOL,27,66,,
a,D. Turnbull,MC MEI,21,74,,S. Davis,MC,36,75,,J. Doig,LE LE,19,67,,M. Watkins,ATA PD,30,67,,T. Xhaka,VOL,30,71,,M. Elia,ATA MD,23,72,,A. Ćorić,MEI MC,24,69,,O. Custodio,VOL MC,26,68,,A. Seko,ZAG,21,67,,N. Okafor,ATA MEI ME,21,73,,M. Raguž,ATA,23,69,,D. Petrovič,MC VOL,23,69,,A. Kuen,ME,26,69,,Lucas Galvão,ZAG LE,30,67,,A. Jędrzejczyk,ZAG,33,69,,Pedro Tiba,MC VOL,32,70,,K. Pestka,LE,22,65,,M. Škvarka,MC MEI,28,65,,
a,J. Forrest,PD PE,29,73,,B. Barišić,LE,28,75,,C. Doidge,ATA,28,66,,F. Ojo,VOL MC LD,29,66,,Á. Szalai,ATA,33,71,,E. Fernandes,MC VOL,25,71,,A. Gogia,MD PD ME,29,69,,J. Sabbatini,MC VOL,33,67,,C. Herc,MC MEI PE,22,67,,B. Aaronson,MEI MC,20,73,,J. Holland,MC VOL,32,69,,S. Grahovac,VOL MC,28,69,,I. Ljubić,MEI VOL MC,24,69,,J. Handl,ZAG,23,67,,Yuri Ribeiro,LE LE,24,69,,J. Kamiński,ME,19,69,,K. Niemczycki,GOL,21,65,,G. Zhukov,MC VOL,26,65,,
a,L. Abada,PD ATA,19,73,,R. Jack,MC VOL,29,74,,J. Doyle-Hayes,VOL MC,22,66,,J. Lewis,GOL,33,66,,A. Pelmard,ZAG,21,71,,M. Sulejmani,ME MD,32,71,,A. Tosin,MD ATA,23,68,,M. Facchinetti,LE ME,30,67,,G. Margreitter,ZAG,32,67,,Bernardo,LE ZAG LE,26,73,,H. Balić,ATA ATA PE,25,69,,K. Arase,MD ME MEI,22,69,,A. Dante,LE,20,68,,G. Teigl,MD LD,30,67,,M. Johansson,LD LD MD,29,68,,Ľ. Šatka,ZAG LD,25,69,,D. Jablonský,ZAG,29,65,,A. Uryga,ZAG,27,65,,
