a,Portuguesa,,,,,Palestino,,,,,Huracán,,,,,Godoy Cruz,,,,,Atlético Tucumán,,,,,Gimnasia y Esgrima,,,,,
a,Michel Luan,ATA MEI,33,71,,C. Villanueva,MEI MC,35,75,,M. Díaz,GOL,35,75,,M. Ojeda,MD ME,22,75,,E. Isnaldo,ME,27,72,,R. Rey,GOL,30,72,,
a,Denis Neves,MD ME ZAG,31,70,,L. Jiménez,MEI ATA ATA,37,75,,F. Cristaldo,MC MD,24,73,,N. Acevedo,MC VOL,32,72,,R. Carrera,ME MD,27,71,,M. Melluso,LE LE,23,72,,
a,Roger Gaucho,MEI MC,36,70,,H. Lemonez,ZAG VOL LE,37,72,,J. Galván,ZAG,29,70,,J. Espínola,GOL,26,71,,G. Acosta,MC,32,71,,B. Alemán,MEI MD ME,31,72,,
a,Wilmar Jordan,ATA,31,70,,C. Suárez,ZAG LE LD,34,71,,L. Vera,MC MEI,24,69,,G. Ortíz,ZAG,28,71,,B. Bianchi,ZAG,32,71,,C. Tarragona,ATA,30,72,,
a,Anderson Lessa,ATA MEI,32,70,,J. Benítez,PE,29,69,,M. Cóccaro,ATA,23,69,,E. Bullaude,MEI MC MD,20,71,,Y. Cabral,ZAG,29,70,,E. Cecchini,VOL MC,24,71,,
a,Vicente Paes,GOL,39,70,,A. Farías,MC VOL,33,68,,J. Candia,PD ATA PE,26,68,,G. Alanís,ME LE,27,71,,C. Menéndez,ATA,33,69,,F. Gerometta,LD,21,69,,
a,Flavio Boaventura,ZAG,34,69,,B. Carrasco,MD PD ATA,30,67,,N. Cordero,ATA PD,22,68,,T. Badaloni,ATA,21,69,,L. Heredia,ATA ME,25,69,,N. Colazo,LE ME MC,30,69,,
a,Fabricio Bigode,MD MC LD,23,68,,N. Veloso,GOL,34,67,,J. Garro,PE ATA PD,28,68,,N. Breitenbruch,ZAG LD,25,69,,R. Tesuri,MD,25,69,,L. Morales,ZAG LD,30,68,,
a,Brayan Lucumi,MEI,28,68,,M. Dávila,MC ME,29,66,,I. Quílez,LD LD MD,31,67,,G. Abrego,MC VOL,21,68,,N. Campisi,GOL,24,69,,G. Guiffrey,ZAG LE,23,68,,
a,Gouvea Vinicius,VOL ZAG,32,68,,B. Zentena,ME ATA,29,65,,L. Merolla,ZAG,26,67,,L. González,ZAG LE,27,68,,C. Rius,MD,32,69,,M. Coronel,ZAG,32,68,,
a,Oliveira Naldo,VOL ZAG,31,68,,E. Acorada,ZAG,25,65,,F. Tobio,ZAG,31,67,,M. Ramírez,ME ATA,22,68,,F. Andrada,ATA,27,69,,J. Carbonero,ME MD,21,68,,
a,Bruno Maia,MD ME ZAG,33,68,,L. Cinterio,MD ATA,21,65,,C. Ibañez,LE,21,67,,V. Burgoa,MEI ME,20,67,,A. Lotti,ATA ME,25,69,,M. Insaurralde,MC VOL,22,67,,
a,Goncalves Graxa,MC,28,68,,V. Fernández,LE,22,64,,B. Vides,ATA PE,28,66,,G. Ferrari,ZAG LD,24,67,,G. Gil Romero,VOL MC,28,68,,G. Fratta,ZAG,25,67,,
a,Junior Dida,GOL,34,67,,A. Venteros,ATA ATA,33,64,,F. Fattori,MC,28,66,,S. Lomónaco,ME MD ATA,22,67,,A. Doldán,ZAG LE,24,68,,M. Miranda,MEI MD MC,21,67,,
a,Silva Maikinho,ATA,30,67,,S. Cabrera,LE,23,63,,G. Soto,LD,27,66,,J. Andrada,VOL MC,26,67,,G. Risso Patrón,LE,25,67,,F. Soldano,ATA,26,67,,
a,Lucio Flavio,ATA,35,66,,A. Sendillas,ATA,17,61,,R. Cabral,PE PD,20,66,,E. López,LD,20,67,,N. Thaller,ZAG,22,67,,E. Ramírez,MD ATA MEI,24,67,,
a,Luis Ricardo,MD MC PD ZAG,38,66,,I. Mesina,ZAG LD,20,60,,S. Hezze,MC,19,66,,G. Goñi,ZAG,22,65,,R. Cristóbal,VOL,25,67,,H. Mancilla,VOL MC,29,67,,
a,Gerley Souza,MD MC PE ZAG,31,66,,F. Chamorro,MEI,19,59,,F. Henríquez,MC VOL,26,65,,B. Leyes,MC VOL,19,65,,R. Ruiz,ME ATA,21,66,,N. Contin,ATA,25,66,,
a,Colares Julinho,MD ME ZAG,34,65,,M. León,MC,18,56,,J. Acevedo,MEI ME MC,24,65,,F. Negri,LE ME,26,65,,M. Ortíz,ZAG LD,27,66,,R. Sosa,MD ME,21,65,,
a,Pinto Tito,ATA,33,65,,D. Contreras,GOL,19,51,,P. Toranzo,MEI MC,39,65,,F. Henríquez,MC VOL,26,65,,F. Campos,LD,27,66,,O. Piris,ZAG,32,65,,
a,Caio Mancha,ATA,29,65,,,,,,,P. Adorno,ZAG LE,25,65,,L. Pizarro,ME MEI,23,65,,M. Capasso,ZAG,25,65,,N. Leyes,VOL MC,31,65,,
a,Joao Pedro,MD MC ZAG,22,62,,,,,,,W. Pérez,LE ME,22,65,,R. Ramírez,GOL,24,64,,J. Pereyra,MC,22,65,,A. Cardozo,VOL MC,24,65,,
a,Lima Maxwell,MEI,22,62,,,,,,,S. Meza,GOL,21,65,,S. Rodríguez,ATA,21,64,,A. Lagos,LD MD,19,64,,N. Insfrán,GOL,26,64,,
a,Caio Martins,MD MC LD,29,59,,,,,,,L. Carrizo,LE,24,64,,J. Pintado,LD,23,64,,T. Marchiori,GOL,26,64,,A. Domínguez,ATA,24,63,,
a,,,,,,,,,,,M. Bajamich,ATA,21,61,,G. Pereira,MEI MC,27,64,,F. Coman,ME ATA,22,62,,G. Enrique,LD,21,62,,
a,,,,,,,,,,,C. Núñez,PD,21,60,,N. Cainelli,MD,26,63,,M. Garay,MD LD LD,22,61,,B. Palazzo,ZAG,20,62,,
a,,,,,,,,,,,E. Navarro,ZAG,19,60,,M. Llano,LD MD,21,63,,N. Laméndola,MD MC,22,61,,L. Chávez,ATA MD,20,61,,
a,,,,,,,,,,,R. Ferrario,GOL,21,60,,J. Medranda,ZAG,19,60,,L. Naranjo,MC,19,60,,F. Torres,ATA ME MD,22,61,,
