a,Ajax,,,,,PSV,,,,,Feyenoord,,,,,AZ Alkmaar,,,,,Twente,,,,,Vitesse,,,,,Utrecht,,,,,Heerenveen,,,,,Groningen,,,,,Sparta Rotterdam,,,,,Genk,,,,,Brugge,,,,,Standard Liege,,,,,Anderlecht,,,,,Gent,,,,,Royal Antwerp,,,,,Mechelen,,,,,
a,D. Tadić,PE,32,84,,M. Götze,MEI ATA MC,29,81,,J. Bijlow,GOL,23,79,,O. Wijndal,LE,21,79,,L. Unnerstall,GOL,30,76,,R. Bazoer,ZAG MC,24,76,,A. Maher,MC VOL,27,75,,M. van Ewijk,LD,20,70,,T. Suslov,MEI ATA,19,71,,Y. Namli,MD MC,27,73,,P. Onuachu,ATA,27,79,,S. Mignolet,GOL,33,80,,S. Amallah,MEI MC PE,24,73,,H. Van Crombrugge,GOL,28,76,,V. Odjidja-Ofoe,MC MEI,32,75,,R. Nainggolan,MC MEI VOL,33,78,,N. Storm,ME MD,26,73,,
a,S. Berghuis,MEI PD,29,82,,C. Gakpo,ME ATA,22,80,,M. Senesi,ZAG,24,78,,F. Midtsjø,MC VOL,27,78,,M. Sadílek,VOL LE MC,22,73,,M. Wittek,LE ME LE,25,75,,B. Ramselaar,MEI PE ME,25,73,,S. van Beek,ZAG,26,70,,B. van Hintum,ZAG LE,34,70,,A. Harroui,VOL MC MD,23,73,,J. Ito,PD ATA,28,77,,H. Vanaken,MC MEI,28,79,,M. Cafaro,ME MD MC,24,72,,W. Hoedt,ZAG,27,76,,J. De Sart,MC VOL,26,74,,R. De Laet,LD ZAG LE,32,76,,R. Schoofs,MC VOL MEI,27,72,,
a,Antony,PD,21,82,,I. Sangaré,VOL MC,23,79,,T. Malacia,LE,21,78,,J. Karlsson,PE,22,77,,M. Vlap,MEI MC,24,71,,J. Rasmussen,ZAG,24,74,,M. van der Hoorn,ZAG,28,72,,T. Halilović,MEI MC VOL,26,70,,M. El Hankouri,MD ME,24,69,,M. Okoye,GOL,21,72,,D. Muñoz,LD ZAG VOL,25,75,,Clinton Mata,LD ZAG,28,78,,K. Laifis,ZAG,28,72,,L. Refaelov,ME MEI ATA,35,76,,M. Ngadeu,ZAG,30,74,,J. Butez,GOL,26,75,,K. Mrabti,MEI MD ATA,27,72,,
a,S. Haller,ATA,27,82,,E. Zahavi,ATA,33,78,,O. Kökçü,MC MEI,20,78,,Y. Sugawara,LD PD,21,74,,R. Pröpper,ZAG,27,70,,D. Doekhi,ZAG,23,74,,P. Almqvist,PE ATA PD,21,72,,T. Haye,MC VOL,26,69,,J. Larsen,ATA,21,69,,R. Durmisi,LE LE ME,27,71,,T. Bongonda,PE,25,75,,N. Lang,PE PD ATA,22,78,,A. Bodart,GOL,23,72,,J. Cullen,VOL MC,25,75,,S. Bolat,GOL,32,74,,M. Frey,ATA,26,75,,H. Cuypers,ATA,24,71,,
a,N. Mazraoui,LD,23,82,,P. Max,LE,27,78,,L. Sinisterra,PE,22,78,,V. Pavlidis,ATA,22,74,,D. Limnios,PE PD,23,70,,E. Dasa,LD MD LD,28,73,,S. van de Streek,MEI MC ATA,28,71,,E. Mulder,GOL,32,68,,M. te Wierik,ZAG LD,29,68,,L. Thy,ATA MEI,29,68,,P. Hrošovský,MC,29,74,,M. Rits,VOL MC,27,77,,S. Bastien,MC VOL,24,71,,M. Murillo,LD,25,74,,A. Castro-Montes,MD ME LD,24,73,,B. Engels,ZAG,26,74,,G. Hairemans,MD MEI MC,29,70,,
a,A. Onana,GOL,25,82,,Vinícius,ATA,26,77,,G. Trauner,ZAG,29,78,,J. Clasie,MC VOL,30,74,,V. Misidjan,PD PE,27,70,,S. Tronstad,MC VOL,25,73,,J. van Overeem,MC VOL,27,71,,P. Bochniewicz,ZAG,25,68,,M. de Leeuw,ATA MEI,34,68,,S. Mijnans,MD MC,21,68,,B. Heynen,MC VOL,24,74,,C. De Ketelaere,ATA PE MEI,20,77,,N. Dussenne,ZAG,29,71,,C. Kouamé,ATA,23,74,,T. Tissoudali,ATA,28,73,,B. Verstraete,VOL MC,27,73,,J. Vanlerberghe,ZAG VOL MC,25,70,,
a,N. Tagliafico,LE,28,81,,Bruma,ME MD,26,77,,B. Linssen,ATA PE,30,76,,T. Ouwejan,LE LE,24,74,,V. Černý,PD PE,23,70,,L. Openda,ATA,21,73,,H. ter Avest,LD,24,71,,I. Drešević,ZAG,24,67,,P. Leeuwenburgh,GOL,27,68,,V. van Crooij,ME MD MEI,25,68,,C. Dessers,ATA,26,74,,R. Vormer,MC,33,77,,G. Cimirot,VOL MC,28,71,,K. Olsson,MC VOL,26,74,,S. Kums,MC VOL MEI,33,73,,Aurélio Buta,LD MD,24,73,,R. van Drongelen,ZAG,22,70,,
a,D. Blind,LE ZAG,31,81,,J. Veerman,MC VOL MEI,22,77,,L. Geertruida,LD ZAG,20,76,,B. Martins Indi,ZAG,29,73,,J. Brenet,LE LD,27,69,,M. Bero,MC,25,71,,D. Warmerdam,LE,25,71,,S. de Jong,MEI ATA ME,32,67,,D. Irandust,MEI MD,23,68,,D. Abels,LD VOL,24,67,,J. Lucumí,ZAG,23,73,,B. Dost,ATA,32,76,,M. Bokadi,ZAG VOL,25,70,,Y. Verschaeren,MD MEI,19,73,,R. Bezus,MEI MC ATA,30,73,,B. Manuel,MD ME PD,24,73,,S. Walsh,LD VOL ZAG,26,70,,
a,L. Martínez,ZAG LE VOL,23,80,,N. Madueke,MD ATA,19,77,,F. Aursnes,VOL MC,25,76,,D. de Wit,MEI MC,23,73,,R. Zerrouki,MC VOL,23,69,,A. Grbic,ATA,24,70,,W. Janssen,ZAG,34,71,,J. van Aken,ZAG LE,27,67,,W. Dammers,ZAG VOL,26,68,,T. Beugelsdijk,ZAG,30,67,,G. Arteaga,LE,22,73,,B. Mechele,ZAG,28,76,,N. Raskin,MC VOL,20,70,,B. Raman,ATA MD ME,26,72,,J. Torunarigha,ZAG LE,23,73,,D. Lamkel Zé,ATA ME MD,24,73,,D. Wouters,VOL MC,24,70,,
a,J. Timber,ZAG LD,20,79,,R. Doan,MD MEI,23,77,,G. Til,MEI,23,75,,P. Hatzidiakos,ZAG,24,72,,R. van Wolfswinkel,ATA MEI,32,69,,N. Baden Frederiksen,ATA,21,69,,H. Veerman,ATA,30,71,,X. Mous,GOL,25,67,,D. Dankerlui,LD MD,24,67,,Mica Pinto,LE LE,28,67,,M. Trésor,MEI PE,22,72,,É. Balanta,VOL MC,28,76,,J. Muleka,ATA PD,21,70,,Sergio Gómez,LE MD ME,20,72,,G. Bruno,ATA PD MD,29,72,,V. Fischer,ME PE MEI,27,72,,S. Oum Gouet,VOL MC,23,69,,
