a,Melbourne Victory,,,,,Sydney FC,,,,,Melbourne City,,,,,Western Sydney Wanderers,,,,,Adelaide United,,,,,Auckland City,,,,,
a,C. Ikonomidis,MD ATA,26,70,,M. Ninković,MEI ME,36,72,,J. Maclaren,ATA,27,75,,R. Williams,ZAG,32,70,,C. Goodwin,ME MD,29,73,,Tom Aldred,ZAG,31,70,,
a,J. Brillante,VOL MC,28,69,,A. Wilkinson,ZAG,36,71,,M. Leckie,ME MD,30,71,,T. Hemed,ATA,34,68,,Javi López,LD LE,35,71,,Corey Brown,MD LE ZAG,28,70,,
a,Roderick Miranda,ZAG,30,69,,R. Grant,LD,30,71,,Nuno Reis,ZAG,30,69,,K. Baccus,MC VOL,23,68,,Isaías,MC VOL,34,70,,Matti Steinmann,MC MD,27,70,,
a,M. Rojas,ME MD,29,68,,L. Narsingh,PD PE ATA,30,70,,C. Good,ZAG,28,69,,S. Ugarković,VOL MC,26,67,,Juande,VOL MC,34,68,,Juan Lescano,ATA,29,70,,
a,F. Margiotta,ATA,27,67,,K. Barbarouses,ATA MD MEI,31,70,,F. Berenguer,MEI MC,32,68,,J. Rodwell,MEI VOL ZAG,30,67,,M. Jakobsen,ZAG,35,64,,Jay O'Shea,MEI MC,33,69,,
a,J. Davidson,LE LE,30,67,,A. Le Fondre,ATA,34,69,,A. Nabbout,MD ME,28,68,,D. Petratos,MEI ATA ATA,28,67,,H. Ibusuki,ATA,30,64,,Scott Neville,MD LD LD,33,69,,
a,I. Kelava,GOL,33,66,,L. Brattan,VOL MC,31,68,,C. Jenkinson,LD,29,67,,A. Traoré,LE LE,31,65,,N. Ansell,ZAG,27,64,,Nikola Mileusnic,ATA MEI,28,69,,
a,M. Spiranovic,ZAG,33,66,,Bobô,ATA,36,68,,S. Jamieson,LE,32,66,,T. Antonis,MC,27,65,,L. D'Arrigo,VOL MC,19,63,,Connor Chapman,MD MC ZAG,27,68,,
a,N. D'Agostino,ATA MD,23,65,,A. Redmayne,GOL,32,67,,C. Metcalfe,MC VOL,21,66,,J. Troisi,MEI MC,32,65,,Z. Clough,MEI ME ATA,26,63,,Rahmat Akbari,MEI MC,21,68,,
a,R. Kruse,MEI ATA,32,65,,P. Retre,VOL LD MD,28,65,,M. Pucciarelli,MEI ATA MC,30,66,,T. Mrčela,ZAG,30,64,,J. Gauci,GOL,20,62,,Jack Hingert,MD LD ZAG,31,68,,
a,J. Brimmer,MEI VOL,23,65,,A. Caceres,MEI MC MD,28,65,,A. O'Neill,VOL MC,22,65,,D. Margush,GOL,23,64,,J. Delianov,GOL,21,62,,Kai Trewin,VOL LD,20,68,,
a,J. Geria,LD ZAG,28,64,,M. Amini,MC VOL,28,65,,M. Tilio,ME MD MEI,19,65,,B. Ibini,ATA ME,28,63,,R. Kitto,LE PE,26,61,,Emiliano Tade,ATA ATA,34,67,,
