a,Benfica,,,,,Sporting,,,,,Porto,,,,,Braga,,,,,Vitória Guimarães,,,,,Boavista,,,,,Marítimo,,,,,Portimonense,,,,,Paços de Ferreira,,,,,Famalicão,,,,,Gil Vicente,,,,,Estoril,,,,,Belenenses,,,,,Moreirense,,,,,Coimbra,,,,,
a,Grimaldo,LE LE ME,25,82,,S. Coates,ZAG,30,83,,Pepe,ZAG,38,82,,Matheus,GOL,28,79,,Rochinha,PE,26,76,,A. Elis,ATA MD,25,75,,Paulo Victor,GOL,34,75,,S. Nakajima,MEI PE PD,26,77,,Stephen Eustáquio,VOL MC,24,76,,Ivo Rodrigues,MD ME LD,26,73,,Murilo,MD ME PD,26,75,,Joãozinho,LE,31,72,,Pedro Nuno,ATA ME PE,26,72,,Fábio Pacheco,VOL MC,33,74,,Agustin Ale,ZAG,27,74,,
a,Rafa,MD ATA ME,28,82,,Palhinha,VOL MC,25,82,,Otávio,MD ME,26,82,,Ricardo Horta,ATA ATA PE,26,79,,Quaresma,PD PE,37,76,,Y. Hamache,LE,21,73,,Zainadine,ZAG,33,75,,Beto,ATA,23,75,,Antunes,LE,34,74,,Adrián Marín,LE LE ME,24,72,,Pedrinho,MC MEI,28,74,,N. Ferraresi,ZAG LD,22,71,,Carraça,LD LD,28,71,,Pablo Santos,ZAG,29,73,,Ricardo Dias,MD MC ZAG,31,72,,
a,J. Vertonghen,ZAG,34,81,,Adán,GOL,34,81,,M. Uribe,MC VOL,30,80,,A. Musrati,VOL MC,25,77,,Bruno Varela,GOL,26,74,,P. Musa,ATA,23,73,,Miguel Silva,GOL,26,73,,Samuel Portugal,GOL,27,73,,Jordi,GOL,27,73,,Pêpê,VOL MC,24,72,,Fran Navarro,ATA,23,73,,João Gamboa,VOL MC,24,71,,S. Sithole,VOL MC,22,70,,Rafael Martins,ATA,32,72,,Souza Kalindi,MD MC PD ZAG,28,72,,
a,O. Vlachodimos,GOL,27,81,,Pedro Gonçalves,PD PE ATA,23,81,,M. Taremi,ATA ATA,28,80,,Paulo Oliveira,ZAG,29,77,,F. Sacko,LD,26,74,,R. Cannon,LD LD ZAG,23,73,,J. Tagueu,ATA PE,27,72,,Pedro Sá,VOL MC,27,72,,Maracás,ZAG,27,73,,S. Banza,ATA,24,72,,Samuel Lino,PE ATA PD,21,73,,Francisco Geraldes,MEI MC,26,71,,Afonso Sousa,MC PE MEI,21,70,,K. Mirallas,ME MC,33,72,,Joao Traquina,PE ATA,33,72,,
a,N. Otamendi,ZAG,33,81,,Pablo Sarabia,PD MEI PE,29,81,,A. Marchesín,GOL,33,80,,Sequeira,LE ZAG,30,77,,André André,MC VOL,31,74,,Javi García,ZAG VOL MC,34,72,,I. Rossi,VOL MC,27,71,,F. Moufi,LD,25,72,,Nuno Santos,MC,22,72,,Iván Jaime,MEI ATA PE,20,72,,João Talocha,LE,31,73,,Jordi Mboula,MD PD ME,22,71,,Licá,MD ATA ME,32,70,,Mateus Pasinato,GOL,29,71,,Domingues Mika,GOL,31,70,,
a,João Mário,MC,28,79,,Pedro Porro,LD MD,21,80,,Sérgio Oliveira,MC,29,80,,Iuri Medeiros,ATA PD MD,26,76,,Rúben Lameiras,PD,26,73,,C. Awaziem,ZAG,24,72,,Cláudio Winck,LD,27,70,,Willyan,ZAG VOL,26,72,,N. Gaitán,MEI MC,33,72,,João Teixeira,MEI MC PD,28,71,,Zé Carlos,LD,22,72,,Romário Baró,MEI PD,21,71,,Yohan Tavares,ZAG,33,69,,L. Rosić,ZAG,28,70,,Ze Castro,VOL ZAG,39,70,,
a,J. Weigl,MC VOL,25,79,,Nuno Mendes,LE LE,19,80,,C. Mbemba,ZAG,26,79,,Vítor Tormena,ZAG,25,75,,Ó. Estupiñán,ATA,24,73,,Bracali,GOL,40,71,,André Vidigal,ME MD,22,70,,Carlinhos,MC MEI,27,71,,Fernando Fonseca,LD,24,71,,Gustavo Assunção,VOL MC,21,71,,Ž. Frelih,GOL,23,71,,L. Ruiz,ATA,25,70,,Abel Camará,ATA MD,31,69,,Artur Jorge,ZAG,26,70,,Joao Diogo,MD MC PD ZAG,34,70,,
a,Everton,ME MD,25,79,,Matheus Nunes,MC,22,79,,Galeno,ME,23,78,,Diogo Leite,ZAG,22,74,,Rafa Soares,LE,26,72,,A. Beiranvand,GOL,28,70,,Vítor Costa,LE,27,70,,A. Sapara,PE PD,26,70,,Marco Baixinho,ZAG,31,71,,Rúben Lima,LE LE ZAG,31,71,,K. Fujimoto,MC PD MEI,22,70,,Xavier,PE PD,28,70,,Y. Baraye,PD PE ME,29,69,,Paulinho,LD LD,29,70,,Silva Reko,MC MD,26,70,,
a,Lucas Veríssimo,ZAG,25,79,,Paulinho,ATA,28,79,,Diogo Costa,GOL,21,77,,Abel Ruiz,ATA,21,73,,Jorge Fernandes,ZAG,24,71,,Ricardo Mangas,LE,23,70,,Bruno Xadas,MEI PD,23,70,,Luquinha,MEI MC,20,70,,Luíz Carlos,MC VOL,35,71,,H. De La Fuente,LD,24,71,,Henrique Gomes,LE,25,69,,André Franco,MEI PD MC,23,70,,T. Phete,VOL ZAG MC,27,69,,Walterson,PE MD,26,69,,Hugo Seco,PE ATA,33,70,,
a,Pizzi,MC MD MEI,31,79,,Gonçalo Inácio,ZAG,19,78,,S. Nakajima,MEI PE PD,26,77,,Castro,MC VOL,33,73,,T. Borevković,ZAG,24,71,,G. Makouta,MC MEI,23,70,,R. Guitane,MD MEI MC,22,70,,Pedrão,ZAG,24,69,,Hélder Ferreira,PD PE,24,70,,C. Pickel,VOL MC,24,70,,Rúben Fernandes,ZAG,35,69,,Patrick William,ZAG,24,70,,Sandro,VOL MC,32,69,,Yan,PD,22,69,,Mauro Caballero,ATA,27,70,,
