a,Gent,,,,,Royal Antwerp,,,,,Legia Warszawa,,,,,Lech Poznan,,,,,LASK Linz,,,,,Sturm Graz,,,,,Hibernian,,,,,Viktoria Plzen,,,,,Maribor,,,,,FK Vardar,,,,,Astana,,,,,Slovan Bratislava,,,,,Qarabag,,,,,Bodø/Glimt,,,,,Molde,,,,,Brøndby,,,,,
a,V. Odjidja-Ofoe,MC MEI VOL,32,75,,R. Nainggolan,MC MEI VOL,33,78,,B. Verbič,ME ATA,27,74,,T. Kędziora,LD ZAG,27,75,,T. Goiginger,MD ATA ME,28,73,,J. Gorenc Stanković,VOL ZAG,25,73,,K. Nisbet,ATA,24,70,,J. Staněk,GOL,25,76,,Rok Kronaveter,MEI MC,35,75,,Dejan Blazevski,ATA,36,74,,Marin Tomasov,PE MEI,34,76,,Vladimir Weiss,PE MEI,32,77,,Richard Almeida,ME VOL,33,75,,U. Saltnes,MC,28,74,,M. Eikrem,MEI,30,73,,A. Maxsø,ZAG,27,75,,
a,J. De Sart,MC VOL MEI,26,74,,R. De Laet,LD ZAG LE,32,76,,R. Strebinger,GOL,28,72,,A. Ba Loua,MD,24,73,,P. Michorl,MC MEI ATA,26,72,,G. Wüthrich,ZAG,26,72,,R. Porteous,ZAG,22,69,,J. Beauguel,ATA,29,76,,Martin Milec,MD MC ZAG,30,74,,Vladica Brdarovski,MD MC ZAG,32,70,,Rai Vloet,ATA ATA MC,26,74,,Jaromir Zmrhal,MEI MC,28,76,,Gara Garayev,MC MD,29,74,,N. Haikin,GOL,25,71,,M. Linnes,LD LE,29,70,,S. Hedlund,ATA ATA,28,71,,
a,S. Bolat,GOL,32,74,,M. Frey,ATA,26,75,,Josué,MEI MC,30,70,,Pedro Rebocho,LE,26,73,,A. Schlager,GOL,25,72,,J. Siebenhandl,GOL,31,72,,C. Mueller,MD PD,24,68,,L. Kalvach,VOL MC,25,75,,Nemanja Mitrovic,ZAG,29,74,,Viktor Velkoski,ZAG,26,70,,Denis Polyakov,ZAG,30,74,,Uche Agbo,MD MC ZAG,26,76,,Marko Vesovic,MD MC PD ZAG,30,74,,O. Solbakken,PD PE,22,71,,O. Brynhildsen,ME MD,22,69,,S. Rosted,ZAG,26,69,,
a,A. Castro-Montes,MD LD,24,73,,J. Butez,GOL,26,74,,P. Wszołek,MD ATA,29,70,,M. Ishak,ATA,28,71,,P. Wiesinger,ZAG,27,71,,O. Kiteishvili,MEI ME,25,72,,P. Hanlon,ZAG,31,68,,J. Mosquera,ME PE,31,75,,Jan Repas,MEI MC,25,74,,Gjoko Cvetanovski,ME,39,70,,Garcia Bryan,MD ME ZAG,30,73,,Jaba Kankava,MC MD,36,75,,Abdellah Zoubir,MEI,30,74,,A. Pellegrino,PE,31,71,,B. Sigurðarson,ATA,30,69,,J. Bell,MC VOL,22,69,,
a,A. Hjulsager,MEI MC PE,26,73,,B. Engels,ZAG,26,74,,F. Mladenović,ME LE,29,70,,J. Karlström,VOL,26,71,,S. Horvath,MEI MD ME,24,70,,M. Sarkaria,ME MD MEI,24,70,,J. Newell,MC VOL,28,68,,P. Bucha,MC MEI VOL,23,75,,Ognjen Mudrinski,ATA,30,74,,Darko Glisic,MD ME ZAG,30,68,,Max Ebong,MEI MC,22,72,,David Holman,MEI MC,29,74,,Maksim Medvedev,ZAG,32,73,,B. Moe,ZAG,29,70,,S. Sinyan,ZAG,24,68,,J. Radošević,VOL MC,27,69,,
a,T. Tissoudali,ATA,28,73,,B. Manuel,MD ME PD,24,73,,B. Kapustka,ATA MEI,24,70,,João Amaral,MEI,29,71,,A. Gruber,ATA MD ATA,26,70,,J. Jantscher,ATA,32,70,,C. Cadden,LD LD,24,67,,M. Havel,LE LD,26,74,,Djordje Ivanovic,ATA ATA,26,74,,Filip Petkovski,ATA,31,68,,Abat Aymbetov,ATA,26,72,,Aleksandar Čavric,MEI MC,27,74,,Filip Ozobic,MEI MC,30,72,,A. Sampsted,LD,23,69,,M. Bjørnbak,ZAG,29,68,,A. Slimane,MEI MC,20,69,,
a,S. Kums,MC VOL MEI,33,73,,Aurélio Buta,LD MD,24,73,,T. Pekhart,ATA,32,69,,Pedro Tiba,MC VOL,32,70,,R. Renner,ME LE,27,69,,S. Hierländer,MD MC,30,70,,M. Macey,GOL,26,67,,J. Kopic,MD ME,31,74,,Ažbe Jug,GOL,30,72,,Oliver Peev,MC MEI MD,34,68,,Pedro Eugenio,MD MC ZAG,31,72,,Vasil Bozhikov,LE,33,74,,Jaime Romero,PE MEI,31,72,,S. Fet,MC,24,69,,K. Haugen,LE,27,68,,M. Hermansen,GOL,20,69,,
a,R. Bezus,MEI MC,30,73,,B. Verstraete,VOL MC,27,73,,A. Jędrzejczyk,ZAG,33,69,,D. Kownacki,ATA ME,24,70,,M. Raguž,ATA,23,69,,A. Kuen,ME,26,69,,R. Bushiri,ZAG,21,66,,R. Řezník,LD ZAG,32,74,,Gregor Bajde,ATA MEI,27,71,,Filip Petrov,ATA MEI,33,67,,Yuri Pertsukh,MC MEI MD,25,72,,Ivan Šaponjic,ATA,24,74,,Badavi Huseynov,ZAG,30,71,,M. Høibråten,ZAG,26,68,,E. Hussain,VOL,28,67,,A. Bruus,LD,22,67,,
a,M. Ngadeu,ZAG,30,73,,M. Samatta,ATA,28,72,,A. Boruc,GOL,41,69,,B. Salamon,ZAG,30,69,,J. Holland,MC VOL,32,69,,I. Ljubić,MEI VOL MC,24,69,,J. Doig,LE LE,19,66,,L. Hejda,ZAG,31,73,,Aleks Pihler,MC MD,28,71,,Darko Micevski,MC MD,29,67,,Islambek Kuat,MD MC LD,29,71,,Guram Kashia,VOL ZAG,35,74,,Toral Bayramov,MD ME MEI ZAG,21,70,,G. Koomson,PD,26,67,,B. Risa,LE ZAG,23,67,,B. Riveros,LE LE,23,67,,
a,J. Torunarigha,ZAG LE,23,73,,V. Fischer,ME PE MEI,27,72,,Yuri Ribeiro,LE LE,24,69,,A. Milić,ZAG,27,69,,H. Balić,ATA ATA PE,25,69,,A. Dante,LE,20,68,,J. Doyle-Hayes,VOL MC,22,66,,A. Čermák,MEI MC,26,73,,Rok Sirk,ATA,28,70,,Hristijan Kirovski,ATA,36,67,,Abzal Beysebekov,ZAG,29,71,,Lukas Pauschek,MD MC ZAG,29,73,,Ramil Sheydaev,ATA,26,70,,B. Wembangomo,LD LE,24,67,,M. Ellingsen,VOL ZAG,26,67,,M. Greve,MEI MC,26,67,,
