a,Rosenborg,,,,,Molde,,,,,Bodø/Glimt,,,,,Malmo,,,,,AIK,,,,,Hammarby,,,,,IFK Goteborg,,,,,Copenhague,,,,,Midtjylland,,,,,Brøndby,,,,,Aalborg,,,,,Randers,,,,,Odense Boldklub,,,,,Helsinki,,,,,
a,A. Hansen,GOL,31,73,,M. Eikrem,MEI,30,73,,U. Saltnes,MC,28,74,,A. Christiansen,MC MEI,31,75,,J. Larsson,ATA ATA PD,24,74,,J. Fjóluson,ZAG,32,70,,M. Berg,ATA ATA,34,75,,V. Claesson,ME MEI,29,76,,E. Sviatchenko,ZAG,29,76,,A. Maxsø,ZAG,27,75,,J. Rinne,GOL,28,74,,P. Carlgren,GOL,29,70,,J. Tverskov,ZAG,28,69,,J. Raitala,ZAG LE LD,32,67,,
a,M. Henriksen,VOL MC,28,72,,M. Linnes,LD LE,29,70,,O. Solbakken,PD PE,22,72,,S. Peña,MEI MC,25,73,,S. Larsson,MC VOL,36,72,,B. Trawally,ME ATA,26,69,,O. Wendt,LE,35,72,,R. Falk,MC,29,75,,Evander,MC MEI,23,76,,S. Hedlund,ATA ATA,28,71,,L. Andersen,PE ATA,26,73,,B. Kopplin,LE LD,32,69,,B. Kadrii,ATA,29,69,,N. Boujellab,MEI ATA MC,22,67,,
a,P. Skjelbred,VOL MC,34,71,,O. Brynhildsen,ME MD,22,69,,N. Haikin,GOL,25,71,,O. Toivonen,MEI ATA,34,73,,K. Nordfeldt,GOL,32,72,,G. Ludwigson,ATA ATA PE,27,68,,E. Salomonsson,LD MD,32,71,,Zeca,VOL MC,32,75,,Paulinho,LE LE,26,73,,S. Rosted,ZAG,26,69,,I. Fossum,MC MEI,24,72,,T. Kehinde,MD ME,23,69,,E. Sabbi,PD,23,68,,R. Riski,ATA,29,66,,
a,S. Vecchia,PE MEI,26,71,,B. Sigurðarson,ATA,30,69,,A. Pellegrino,PE,31,71,,A. Ahmedhodžić,ZAG,22,73,,E. Otieno,LE LD,24,71,,D. Bojanić,MC VOL,26,68,,G. Svensson,VOL MC,34,70,,K. Diks,LD,24,73,,Juninho,ZAG,26,73,,J. Bell,MC VOL,22,69,,R. Thelander,ZAG,29,72,,V. Hammershøy-Mistrati,MEI MC,29,69,,S. Svendsen,PE PD ATA,23,68,,R. Riski,PD PE,31,66,,
a,C. Holse,PD MC,22,69,,K. Haugen,LE,27,68,,A. Sampsted,LD,23,70,,J. Dahlin,GOL,34,72,,A. Milošević,ZAG,29,71,,L. Sadiku,VOL ZAG MC,29,68,,W. Hahn,GOL,29,69,,D. Khocholava,ZAG,28,73,,Vágner Love,ATA MEI,37,73,,J. Radošević,VOL MC,27,69,,L. Prip,ATA MC ATA,24,69,,L. Johnsen,VOL MC,21,68,,I. Jebali,ATA ATA MEI,29,66,,J. Toivio,ZAG,33,66,,
a,V. Hoff,MC,25,69,,S. Sinyan,ZAG,24,68,,B. Moe,ZAG,29,70,,N. Moisander,ZAG,35,72,,N. Stefanelli,ATA ATA MEI,26,71,,A. Selmani,ATA,24,68,,H. Aiesh,MD PD,26,68,,D. Vavro,ZAG,25,72,,A. Dreyer,PD MEI,23,73,,A. Slimane,MEI MC,20,69,,Pedro Ferreira,VOL MC,23,69,,A. Kamara,ATA,27,68,,J. King,LE,20,65,,M. Tenho,ZAG,26,65,,
a,N. Holm,ATA,20,67,,M. Bjørnbak,ZAG,29,68,,M. Høibråten,ZAG,26,70,,I. Kiese Thelin,ATA,29,72,,S. Papagiannopoulos,ZAG,30,71,,A. Khalili,MC,29,68,,S. Thern,MC,28,67,,Pep Biel,MEI MD,24,72,,M. Meyer,MC MEI ME,25,72,,M. Hermansen,GOL,20,69,,J. Ahlmann,LE ME LE,30,68,,M. Kallesøe,LD MD,24,68,,A. Þrándarson,MC MD,26,65,,A. Tanaka,MEI PE,33,65,,
a,A. Pereira,LE,21,67,,B. Risa,LE ZAG,23,67,,B. Wembangomo,LD LE,24,68,,V. Birmančević,PE,23,71,,M. Lustig,LD ZAG,34,70,,N. Besara,ATA ATA,30,67,,T. Sana,ME ATA MEI,31,66,,N. Jørgensen,ATA,30,72,,J. Andersson,LD LD,24,72,,A. Bruus,LD,22,67,,K. Pallesen,LD MD LD,31,68,,S. Odey,ATA,23,67,,K. Larsen,ZAG,28,65,,C. Hazard,GOL,23,65,,
a,E. Ceïde,PE PD,19,67,,M. Ellingsen,VOL ZAG,26,67,,S. Fet,MC,24,68,,O. Lewicki,VOL MC,28,71,,B. Hussein,MC MD,21,69,,B. Paulsen,ZAG,29,67,,C. Johansson,ZAG,27,66,,N. Boilesen,ZAG LE,29,72,,H. Dalsgaard,ZAG LD LD,31,71,,B. Riveros,LE LE,23,67,,K. Kusk,ATA ATA PD,29,67,,J. Ankersen,ME,30,67,,M. Frøkjær-Jensen,MEI PE,21,65,,D. Browne,PE,25,64,,
a,E. Reitan,LD ZAG,23,66,,E. Hussain,VOL,28,66,,H. Vetlesen,MC PD,21,67,,S. Rieks,PE LE,34,70,,N. Bahoui,ATA ME,30,69,,J. Andersen,MC VOL,28,67,,M. Bjärsmyr,ZAG,35,66,,K. Grabara,GOL,22,72,,J. Lössl,GOL,32,71,,M. Greve,MEI MC,26,67,,M. Makarić,ATA,25,67,,S. Tibbling,MD MC ME,26,67,,J. Skjelvik,LE,29,65,,V. Moren,ZAG,30,64,,
