a,Celtic,,,,,,,Glasgow Rangers,,,,,,,Hibernian,,,,,,,Aberdeen,,,,,,,Legia Warszawa,,,,,,,Lech Poznan,,,,,,,Cracovia,,,,,,,Wisla Krakow,,,,,,,
a,C. McGregor,MC VOL,28,77,Scotland,/211/093/22_60.png,,J. Tavernier,LD,29,78,England,/195/479/22_60.png,,K. Nisbet,ATA,24,70,Scotland,/225/317/22_60.png,,L. Ferguson,MC VOL,21,70,Scotland,/242/280/22_60.png,,B. Verbič,ME ATA,27,74,Slovenia,/225/997/22_60.png,,T. Kędziora,LD ZAG,27,75,Poland,/210/136/22_60.png,,Y. Konoplyanka,ME,31,72,Ukraine,/200/641/22_60.png,,G. Tsitaishvili,MD ME,20,70,Georgia,/245/131/22_60.png,,
a,J. Hart,GOL,34,76,England,/150/724/22_60.png,,A. Ramsey,MC MEI ME,30,77,Wales,/186/561/22_60.png,,R. Porteous,ZAG,22,69,Scotland,/240/439/22_60.png,,C. Ramirez,ATA MEI,30,70,United States,/237/075/22_60.png,,Josué,MEI MC,30,71,Portugal,/199/739/22_60.png,,Pedro Rebocho,LE,26,73,Portugal,/234/930/22_60.png,,P. van Amersfoort,MEI MC ATA,25,68,Netherlands,/225/187/22_60.png,,M. Hanousek,LE,28,67,Czech Republic,/247/203/22_60.png,,
a,J. Juranović,LD LE,25,75,Croatia,/257/771/22_60.png,,R. Kent,PE,24,76,England,/224/520/22_60.png,,J. Newell,MC VOL,28,68,England,/202/771/22_60.png,,R. McCrorie,ZAG MC VOL,23,69,Scotland,/234/229/22_60.png,,R. Strebinger,GOL,28,71,Austria,/209/990/22_60.png,,A. Ba Loua,MD,24,72,Ivory Coast,/230/972/22_60.png,,V. Ghiță,ZAG,23,67,Romania,/248/105/22_60.png,,M. Frydrych,ZAG VOL,31,67,Czech Republic,/201/163/22_60.png,,
a,T. Rogić,MC MEI,28,75,Australia,/207/928/22_60.png,,A. Morelos,ATA,25,76,Colombia,/221/714/22_60.png,,P. Hanlon,ZAG,31,68,Scotland,/189/110/22_60.png,,D. Bates,ZAG,24,67,Scotland,/235/729/22_60.png,,B. Kapustka,MEI ATA,24,70,Poland,/216/003/22_60.png,,João Amaral,MEI,29,72,Portugal,/234/949/22_60.png,,S. Hanca,MD ME,29,67,Romania,/237/989/22_60.png,,Z. Ondrášek,ATA,32,67,Czech Republic,/189/655/22_60.png,,
a,C. Jullien,ZAG,28,75,France,/208/615/22_60.png,,A. McGregor,GOL,39,75,Scotland,/049/000/22_60.png,,J. Doig,LE LE,19,67,Scotland,/255/561/22_60.png,,J. Hayes,LE LE ME,33,67,Ireland,/163/619/22_60.png,,T. Pekhart,ATA,32,69,Czech Republic,/184/290/22_60.png,,J. Karlström,VOL,26,71,Sweden,/214/658/22_60.png,,C. Râpă,LD ZAG LD,31,66,Romania,/202/754/22_60.png,,J. Błaszczykowski,MD MEI,35,67,Poland,/164/994/22_60.png,,
a,Jota,PE PD,22,74,Portugal,/234/570/22_60.png,,C. Goldson,ZAG,28,75,England,/199/580/22_60.png,,M. Macey,GOL,26,67,England,/213/407/22_60.png,,D. Gallagher,ZAG,30,67,Scotland,/209/935/22_60.png,,P. Wszołek,MD ATA,29,69,Poland,/203/568/22_60.png,,M. Ishak,ATA,28,71,Sweden,/206/626/22_60.png,,J. Jugas,ZAG,29,66,Czech Republic,/238/940/22_60.png,,M. Poletanović,MC VOL,27,66,Serbia,/227/150/22_60.png,,
a,D. Turnbull,MC MEI,21,74,Scotland,/234/111/22_60.png,,G. Kamara,MC,25,75,Finland,/213/654/22_60.png,,C. Cadden,LD LD,24,67,Scotland,/222/109/22_60.png,,A. Considine,ZAG,34,67,Scotland,/156/675/22_60.png,,A. Jędrzejczyk,ZAG LD,33,69,Poland,/177/790/22_60.png,,D. Kownacki,ATA ME,24,70,Poland,/221/168/22_60.png,,L. Hroššo,GOL,34,65,Slovakia,/247/205/22_60.png,,P. Kieszek,GOL,37,66,Poland,/148/526/22_60.png,,
a,K. Furuhashi,ATA PE,26,74,Japan,/245/538/22_60.png,,J. Aribo,MC,24,74,Nigeria,/231/044/22_60.png,,P. McGinn,ZAG LD,30,66,Scotland,/211/707/22_60.png,,M. Watkins,ATA PD,30,67,Wales,/189/776/22_60.png,,F. Mladenović,LE ME,29,69,Serbia,/221/969/22_60.png,,J. Kamiński,ME,19,69,Poland,/252/495/22_60.png,,K. Pestka,LE,22,65,Poland,/235/303/22_60.png,,G. Zhukov,MC VOL,26,65,Kazakhstan,/210/870/22_60.png,,
a,G. Giakoumakis,ATA,26,73,Greece,/239/842/22_60.png,,B. Barišić,LE,28,74,Croatia,/241/673/22_60.png,,C. Doidge,ATA,28,66,Wales,/224/965/22_60.png,,M. Kennedy,ME LD,26,66,Northern Ireland,/204/324/22_60.png,,Yuri Ribeiro,LE LE,24,69,Portugal,/237/211/22_60.png,,B. Salamon,ZAG,30,69,Poland,/189/558/22_60.png,,K. Niemczycki,GOL,21,65,Poland,/240/170/22_60.png,,A. Uryga,ZAG,27,65,Poland,/208/614/22_60.png,,
a,L. Abada,PD ATA,19,73,Israel,/263/377/22_60.png,,K. Roofe,ATA,28,74,Jamaica,/205/360/22_60.png,,R. Bushiri,ZAG,21,66,Belgium,/239/259/22_60.png,,J. Lewis,GOL,33,66,England,/156/253/22_60.png,,M. Johansson,LD MD,29,68,Sweden,/189/300/22_60.png,,A. Milić,ZAG,27,69,Croatia,/226/518/22_60.png,,D. Jablonský,ZAG,29,65,Czech Republic,/193/937/22_60.png,,M. Škvarka,MC MEI,28,65,Slovakia,/261/208/22_60.png,,
a,J. Forrest,PD PE,29,73,Scotland,/200/630/22_60.png,,R. Jack,MC VOL,29,74,Scotland,/189/218/22_60.png,,J. Doyle-Hayes,MC VOL,22,66,Ireland,/240/603/22_60.png,,F. Ojo,VOL MC LD,29,66,Belgium,/184/242/22_60.png,,M. Wieteska,ZAG,24,68,Poland,/224/302/22_60.png,,B. Douglas,LE,31,69,Scotland,/200/443/22_60.png,,O. Kakabadze,LD,26,65,Georgia,/235/005/22_60.png,,D. Hugi,ME ATA,25,64,Israel,/257/620/22_60.png,,
a,C. Carter-Vickers,ZAG,23,72,United States,/228/174/22_60.png,,S. Davis,MC,36,74,Northern Ireland,/151/508/22_60.png,,J. Murphy,ME PE MEI,31,66,Scotland,/189/148/22_60.png,,C. McLennan,MD LD,21,65,Scotland,/233/727/22_60.png,,B. Slisz,MC VOL,22,67,Poland,/243/222/22_60.png,,Ľ. Šatka,ZAG LD,25,69,Slovakia,/209/232/22_60.png,,M. Sipľak,LE ZAG ME,25,65,Slovakia,/239/762/22_60.png,,M. Sadlok,ZAG LE,32,64,Poland,/185/109/22_60.png,,
a,G. Taylor,LE,23,72,Scotland,/226/508/22_60.png,,I. Hagi,PD MEI,22,74,Romania,/226/568/22_60.png,,S. Allan,MEI,29,65,Scotland,/201/085/22_60.png,,V. Besuijen,PD PE MD,20,65,Netherlands,/258/389/22_60.png,,Rafael Lopes,ATA ATA,29,67,Portugal,/204/682/22_60.png,,Pedro Tiba,MC VOL,32,69,Portugal,/219/181/22_60.png,,M. Hebo Rasmussen,MC,25,64,Denmark,/223/014/22_60.png,,J. Kliment,ATA,27,64,Czech Republic,/229/154/22_60.png,,
