a,Shanghai SIPG,,,,,,,Ghuangzhou,,,,,,,Shandong Luneng,,,,,,,Beijing Guoan FC,,,,,,,Shanghai Shenhua,,,,,,,Pohang Steelers,,,,,,,Jeonbuk Hyundai,,,,,,,FC Seoul,,,,,,,Suwon Samsung,,,,,,,Ulsan Hyundai,,,,,,,Incheon United,,,,,,,Buriram United,,,,,,,FC Goa,,,,,,,Mumbai City,,,,,,,
a,Emboaba Oscar,MEI MC,30,81,Brazil,wiki/38535.png,,Shihao Wei,ATA MEI,27,74,China,wiki/76719.jpg,,Marouane Fellaini,MC MEI MD,34,79,Belgium,wiki/16048.png,,S. Memišević,ZAG VOL,27,72,Bosnia,/235/544/22_60.png,,C. Bassogog,ATA MD PD,25,74,Cameroon,/231/138/22_60.png,,Hyeon-Mu Kang,GOL,27,72,South Korea,wiki/23767.jpg,,Hong Jeong Ho,ZAG,31,74,South Korea,/200/588/22_60.png,,Ki Sung Yueng,MC VOL,32,74,South Korea,/180/283/22_60.png,,D. Bulthuis,ZAG,31,72,Netherlands,/205/565/22_60.png,,Hyun-Woo Jo,GOL,30,75,South Korea,wiki/72482.png,,S. Mugoša,ATA,29,73,Montenegro,/223/994/22_60.png,,Goran Čausic,MC MD,30,75,Serbia,wiki/53084.png,,Noguera,MEI MD,31,69,Spain,/203/173/22_60.png,,Angulo,ATA,37,72,Spain,/138/306/22_60.png,,
a,Aaron Mooy,MC MEI MD,31,78,Australia,wiki/46691.png,,Tyias Browning,LD,28,72,China,wiki/71360.png,,Jun-Ho Son,MC MD,30,75,South Korea,wiki/76899.jpg,,S. Adegbenro,ATA PE PD,25,72,Nigeria,/227/642/22_60.png,,M. Bolaños,ATA,31,72,Ecuador,/207/653/22_60.png,,Gwang-Hoon Shin,MD LD ZAG,35,72,South Korea,wiki/31104.jpg,,Gustavo,ATA,27,73,Brazil,/222/729/22_60.png,,Osmar,ZAG VOL MC,33,72,Spain,/193/847/22_60.png,,Lee Ki Je,LE ME,29,70,South Korea,/212/066/22_60.png,,Young-Gwon Kim,ZAG,32,75,South Korea,wiki/43809.jpg,,E. Aguilar,MC PD,29,72,Costa Rica,/242/737/22_60.png,,Theerathon Bunmathan,MD LE ZAG,32,74,Thailand,wiki/55549.jpg,,Edu Bedia,MC MEI,32,67,Spain,/189/958/22_60.png,,A. Jahouh,VOL,32,70,Morocco,/248/297/22_60.png,,
a,Junling Yan,GOL,31,75,China,wiki/65702.jpg,,Liyu Yang,ATA ATA,25,72,China,wiki/89942.png,,Dalei Wang,GOL,33,75,China,wiki/22946.jpg,,Kang Sang Woo,LE LE ME,27,71,South Korea,/222/734/22_60.png,,Zeng Cheng,GOL,34,70,China PR,/182/043/22_60.png,,Jin-Ho Shin,MC MEI MD,33,72,South Korea,wiki/70540.jpg,,S. Iljutcenko,ATA,30,72,Russia,/228/861/22_60.png,,Hwang In beom,MC PE MEI,24,72,South Korea,/228/010/22_60.png,,Min Sang Gi,ZAG,29,69,South Korea,/202/978/22_60.png,,Valeri Qazaishvili,PE MEI,29,75,Georgia,wiki/48770.png,,Oh Jae Suk,LD LE,31,69,South Korea,/232/626/22_60.png,,Frank Castañeda,ATA MEI,27,74,Colombia,wiki/113818.png,,Jorge Ortiz,ATA MD ME,29,66,Spain,/228/303/22_60.png,,M. Fall,ZAG,33,70,Senegal,/248/295/22_60.png,,
a,Santos Paulinho,MEI MC,27,75,Brazil,wiki/68686.png,,Xiuwei Zhang,MC MD,26,68,China,wiki/78520.jpg,,Lima Moises,MC MEI MD,34,75,Brazil,wiki/48428.png,,Li Ke,MC VOL,28,69,China PR,/202/808/22_60.png,,Yu Hanchao,ME PE PD,34,70,China PR,/182/411/22_60.png,,Seung-Dae Kim,ATA MEI,31,72,South Korea,wiki/71788.jpg,,Kim Bo Kyung,MC MEI,31,72,South Korea,/199/183/22_60.png,,Na Sang Ho,PE ATA,24,70,South Korea,/238/097/22_60.png,,E. Sarić,MC VOL,30,69,Bosnia,/244/517/22_60.png,,Hyung-Min Shin,MC MD,35,74,South Korea,wiki/33707.jpg,,Kim Do Hyeok,MC VOL,29,68,South Korea,/221/643/22_60.png,,Silva Digâo,VOL ZAG,34,72,Brazil,wiki/42470.png,,Iván González,ZAG LD,31,65,Spain,/233/068/22_60.png,,B. Inman,ME MEI,29,64,Australia,/190/995/22_60.png,,
a,Shenchao Wang,LE ZAG,33,74,China,wiki/65942.jpg,,Dinghao Yan,MC MEI MD,24,68,China,wiki/missing_player.jpg,,Jingdao Jin,MC VOL,30,74,China,wiki/69829.jpg,,Zhang Chengdong,LD ZAG,32,68,China PR,/182/409/22_60.png,,Wu Xi,MC VOL,32,68,China PR,/217/153/22_60.png,,Alex Grant,LE,28,70,Australia,wiki/63199.png,,Lee Seung Gi,MC MD MEI,33,71,South Korea,/202/305/22_60.png,,Yang Han Been,GOL,29,69,South Korea,/203/004/22_60.png,,Jang Ho Ik,ZAG LD,27,68,South Korea,/233/457/22_60.png,,Du-Jae Won,MD MC ZAG,24,74,South Korea,wiki/110403.png,,Oh Ban Suk,ZAG,33,68,South Korea,/207/753/22_60.png,,Jonathan Bolingi,ATA MEI,27,72,Democratic Republic Congo,wiki/79277.png,,D. Fox,ZAG,27,63,Australia,/231/342/22_60.png,,Cássinho,MEI,28,63,Brazil,/264/381/22_60.png,,
a,Cherif Ndiaye,ATA,26,73,Senegal,wiki/91233.png,,Shaocong Wu,ZAG,22,65,China,wiki/missing_player.jpg,,Cristiano Jadson,ZAG,30,72,Brazil,wiki/84146.png,,Zhang Yuning,ATA,24,67,China PR,/228/017/22_60.png,,Cao Yunding,ME,31,68,China PR,/222/204/22_60.png,,Wanderson Carvalho,MD LE MEI ZAG,33,70,Brazil,wiki/77043.png,,Kim Jin Su,LE,29,71,South Korea,/213/317/22_60.png,,Go Yo Han,MC MD ATA,33,69,South Korea,/184/337/22_60.png,,Choi Sung Geun,VOL MC,29,68,South Korea,/208/455/22_60.png,,Tae-Hwan Kim,MD MC PD ZAG,32,74,South Korea,wiki/44324.jpg,,Kim Kwang Suk,ZAG,38,68,South Korea,/184/900/22_60.png,,Rosa Samuel,ATA MEI,31,72,Brazil,wiki/56788.jpg,,Airam Cabrera,ATA,33,61,Spain,/194/076/22_60.png,,L. Chhangte,ME MD ATA,24,61,India,/231/932/22_60.png,,
a,Linpeng Zhang,LD,33,72,China,wiki/47046.png,,Shi Tang,ATA MEI,27,65,China,wiki/87856.png,,Ke Shi,LD,29,72,China,wiki/57307.jpg,,Zhang Xizhe,MC MEI ME,30,67,China PR,/221/820/22_60.png,,Feng Xiaoting,ZAG,35,66,China PR,/175/589/22_60.png,,Sang-Hyub Lim,MEI MC,33,70,South Korea,wiki/40247.jpg,,Song Min Kyu,ME MEI,21,70,South Korea,/248/188/22_60.png,,A. Paločević,MEI ATA MC,27,67,Serbia,/244/582/22_60.png,,Han Seok Jong,VOL MC,28,67,South Korea,/222/697/22_60.png,,Chung-Yong Lee,MEI,33,74,South Korea,wiki/23545.png,,Lee Yong Jae,ATA PE ATA,30,67,South Korea,/195/092/22_60.png,,Marques Maicon,ATA MEI,32,72,Brazil,wiki/34226.png,,S. Fernandes,LD,28,61,India,/248/296/22_60.png,,R. Borges,VOL MC,29,61,India,/231/933/22_60.png,,
a,Ang Li,ZAG,28,70,China,wiki/77231.jpg,,Xuepeng Li,VOL LE,33,65,China,wiki/22954.jpg,,Xiang Ji,MD MC MEI ZAG,32,72,China,wiki/57531.jpg,,M. Dabro,ATA,24,67,Croatia,/268/614/22_60.png,,Peng Xinli,MC MEI VOL,29,66,China PR,/217/160/22_60.png,,Moses Ogbu,ATA,31,70,Nigeria,wiki/83764.png,,Paik Seung Ho,MC VOL,24,70,South Korea,/237/424/22_60.png,,B. Halloran,MD PD,29,66,Australia,/203/309/22_60.png,,No Dong Geon,GOL,29,66,South Korea,/221/700/22_60.png,,Jun Amano,MEI MC,30,74,Japan,wiki/80307.jpg,,H. Delbridge,ZAG LD,29,67,Australia,/241/970/22_60.png,,Lonsana Doumbouya,ATA ATA,31,70,Guinea,wiki/83323.png,,B. Fernandes,ME MEI,26,60,India,/248/298/22_60.png,,B. Singh,ME MD,26,60,India,/248/178/22_60.png,,
a,Huan Fu,LD ZAG,28,70,China,wiki/65938.jpg,,Shibo Liu,GOL,25,62,China,wiki/missing_player.jpg,,Cryzan da Cruz,ATA MEI,25,72,Brazil,wiki/82285.jpg,,Chi Zhongguo,MC VOL,31,66,China PR,/228/033/22_60.png,,Zhao Mingjian,LD MD,33,64,China PR,/182/464/22_60.png,,Seung-Mo Lee,MC ATA ATA MD,24,70,South Korea,wiki/90145.png,,Han Kyo Won,MD PD,31,70,South Korea,/202/994/22_60.png,,Ko Kwang Min,LE LE,32,66,South Korea,/206/472/22_60.png,,Kim Gun Hee,ATA PD,26,66,South Korea,/231/910/22_60.png,,Leonardo Lopes,ATA,25,74,Brazil,wiki/109700.png,,Lee Myung Joo,MC,31,67,South Korea,/208/636/22_60.png,,Rebin Sulaka,VOL ZAG,30,70,Iraq,wiki/92835.png,,R. Jesuraj,MD,24,57,India,/257/893/22_60.png,,M. Rao Dessai,LE ME,29,59,India,/228/194/22_60.png,,
a,Guan He,LD LD,29,70,China,wiki/77250.jpg,,Mingmin Cai,MEI,21,59,China,wiki/missing_player.jpg,,Lisheng Liao,MC,29,70,China,wiki/77263.jpg,,Piao Cheng,MC,31,66,China PR,/221/824/22_60.png,,Zhu Chenjie,ZAG,20,64,China PR,/245/041/22_60.png,,Yong-Hwan Kim,MD LD ZAG,29,70,South Korea,wiki/76855.jpg,,M. Barrow,ME PE,28,70,Gambia,/207/645/22_60.png,,Kim Jin Ya,LE MD,23,66,South Korea,/236/586/22_60.png,,Yang Hyung Mo,GOL,29,65,South Korea,/222/229/22_60.png,,Ki-Hee Kim,LD,32,74,South Korea,wiki/52652.jpg,,Yeo Reum,MC,32,65,South Korea,/207/811/22_60.png,,Jakkraphan Kaewprom,VOL LD,34,70,Thailand,wiki/55546.jpg,,D. Singh Moirangthem,GOL,20,57,India,/247/626/22_60.png,,Apuia,VOL MC,20,59,India,/253/712/22_60.png,,
a,Mirahmetjan Muzepper,MC MD,31,70,China,wiki/47988_1294893719.jpg,,Dejiang Yang,MC MD,17,57,China,wiki/missing_player.jpg,,Zheng Zheng,LE,32,70,China,wiki/53923.jpg,,Yu Yang,ZAG,31,65,China PR,/191/532/22_60.png,,Aidi Fulangxisi,ZAG LD LE,30,63,China PR,/222/183/22_60.png,,Gwang-Hyeok Lee,MEI,26,69,South Korea,wiki/74193.jpg,,T. Kunimoto,MC ME ATA,23,70,Japan,/232/985/22_60.png,,Cho Young Wook,ATA PD MC,22,66,South Korea,/234/222/22_60.png,,Lee Han Do,ZAG,27,65,South Korea,/232/997/22_60.png,,Il-Lok Yun,ATA ATA,30,74,South Korea,wiki/51126.jpg,,Kang Min Soo,ZAG,35,65,South Korea,/155/334/22_60.png,,Narubodin Weerawatnodom,LD,27,70,Thailand,wiki/79517.jpg,,G. Martins,VOL MC,27,56,India,/259/346/22_60.png,,R. Bheke,ZAG LD LE,30,59,India,/248/265/22_60.png,,
