a,Toulouse,,,,,,,Valenciennes,,,,,,,Bastia,,,,,,,Nimes,,,,,,,
a,B. van den Boomen,MC VOL,25,73,Netherlands,/229/158/22_60.png,,M. Debuchy,LD ZAG,35,72,France,/158/626/22_60.png,,S. Salles-Lamonge,MC MEI,25,67,France,/232/116/22_60.png,,Z. Ferhat,ME MD,28,74,Algeria,/222/515/22_60.png,,
a,B. Dejaegere,MC,30,72,Belgium,/201/043/22_60.png,,J. Cuffaut,ZAG LD,33,70,France,/199/537/22_60.png,,B. Santelli,ATA,29,67,France,/250/911/22_60.png,,Y. Benrahou,MD MEI,22,73,Morocco,/244/863/22_60.png,,
a,M. Dupé,GOL,28,72,France,/204/513/22_60.png,,U. Bonnet,ATA,27,70,France,/248/775/22_60.png,,Y. Sylla,VOL MC,30,67,Mali,/201/917/22_60.png,,N. Eliasson,ME MD,25,72,Sweden,/220/969/22_60.png,,
a,I. Sylla,LE,27,70,Guinea,/212/282/22_60.png,,B. Guillaume,ATA PD,26,70,Belgium,/213/839/22_60.png,,Z. Boucher,GOL,29,67,France,/201/138/22_60.png,,L. Fomba,VOL MC,23,72,France,/236/721/22_60.png,,
a,S. Spierings,MC VOL,25,70,Netherlands,/227/622/22_60.png,,F. Ayité,ME MEI ATA,32,69,Togo,/188/271/22_60.png,,J. Le Cardinal,LD ZAG,23,66,France,/262/344/22_60.png,,P. Martinez,ZAG,32,72,France,/223/284/22_60.png,,
a,R. Healey,ATA PE,26,70,England,/212/994/22_60.png,,G. Robail,ME PE ATA,27,68,France,/242/324/22_60.png,,I. Saadi,ATA,29,65,Algeria,/197/480/22_60.png,,A. Briançon,ZAG,26,71,France,/223/138/22_60.png,,
a,A. Onaiwu,ATA,25,70,Japan,/237/453/22_60.png,,E. Ntim,ZAG,25,67,Ghana,/231/472/22_60.png,,L. Palun,LD LE ZAG,32,65,Gabon,/202/708/22_60.png,,M. Koné,ATA,24,71,Senegal,/231/344/22_60.png,,
a,I. Pettersson,GOL,24,70,Sweden,/236/823/22_60.png,,J. Masson,VOL MC,23,67,France,/238/056/22_60.png,,A. Robic,MD ME ATA,35,65,France,/176/996/22_60.png,,P. Burner,LD,25,69,France,/235/981/22_60.png,,
a,M. Desler,LD LD,26,69,Denmark,/212/170/22_60.png,,L. Dos Santos,LD LD LE,28,67,France,/215/969/22_60.png,,Y. Bocognano,ZAG,31,65,France,/192/923/22_60.png,,E. Ómarsson,ATA,26,67,Iceland,/227/509/22_60.png,,
a,N. Ngoumou,MD PD,21,68,France,/250/724/22_60.png,,N. Diliberto,MC VOL,19,67,France,/254/472/22_60.png,,J. Sainati,ZAG,32,65,France,/179/725/22_60.png,,J. Ponceau,MEI MC VOL,20,67,France,/242/655/22_60.png,,
a,B. Diakité,ZAG LE,20,68,France,/246/565/22_60.png,,M. Spano Rahou,ZAG,26,66,Algeria,/223/594/22_60.png,,T. Vincensini,GOL,27,65,France,/209/644/22_60.png,,N. Ueda,ZAG,26,67,Japan,/232/870/22_60.png,,
a,A. Rouault,ZAG,20,68,France,/252/512/22_60.png,,É. Vandenabeele,ZAG,29,66,France,/244/117/22_60.png,,J. Placide,GOL,33,64,Haiti,/178/363/22_60.png,,G. Paquiez,LD LE,27,67,France,/220/030/22_60.png,,
a,Rafael Ratão,PE ATA,25,67,Brazil,/220/581/22_60.png,,Q. Lecoeuche,LE ME LE,27,66,France,/225/927/22_60.png,,C. Vincent,MC VOL,28,64,France,/206/243/22_60.png,,T. Sainte-Luce,LE,22,67,France,/241/157/22_60.png,,
a,R. Nicolaisen,ZAG,24,67,Denmark,/235/244/22_60.png,,S. D'Almeida,MC VOL,25,66,Benin,/225/146/22_60.png,,K. Schur,LD LE,30,64,France,/262/348/22_60.png,,S. Sadzoute,LE ME MD,23,67,France,/241/281/22_60.png,,
a,K. Sidibé,VOL ZAG,22,67,France,/246/298/22_60.png,,A. Abeid,LE LE,23,65,Mauritania,/243/210/22_60.png,,H. Manzala,ME MD,27,64,Democratic Republic Congo,/214/949/22_60.png,,S. Sarr,VOL MC,25,66,Senegal,/230/995/22_60.png,,
a,D. Genreau,MC MEI,22,65,Australia,/236/890/22_60.png,,A. Elogo,ME MEI MC,26,65,Cameroon,/244/158/22_60.png,,D. Guidi,ZAG,25,64,France,/244/460/22_60.png,,K. Guessoum,ZAG,22,66,France,/241/506/22_60.png,,
a,K. Serber,MC,22,63,France,/263/349/22_60.png,,L. Chevalier,GOL,19,65,France,/251/752/22_60.png,,A. Talal,MC MD,25,63,Morocco,/239/460/22_60.png,,L. Dias,GOL,22,63,France,/236/867/22_60.png,,
a,M. Diarra,LE ZAG MC,20,63,France,/250/725/22_60.png,,A. Boutoutaou,MEI ATA PD,20,64,France,/254/784/22_60.png,,K. Kaïboué,LE MC ZAG,22,63,France,/244/542/22_60.png,,M. Doucouré,ATA,21,63,Mali,/262/154/22_60.png,,
a,N. Skyttä,MEI,19,62,Finland,/263/343/22_60.png,,F. Martin,MC ME,31,64,France,/215/760/22_60.png,,J. Boyer,LE LE,23,62,France,/247/533/22_60.png,,A. Valério,MC,21,63,France,/254/020/22_60.png,,
a,Y. Begraoui,MD ATA,19,62,France,/243/169/22_60.png,,A. Ouattara,ATA MD,21,64,Burkina Faso,/242/405/22_60.png,,A. Taoui,ME ATA PE,19,62,France,/244/403/22_60.png,,A. Nazih,GOL,19,62,France,/260/587/22_60.png,,
a,J. Flemmings,PE,25,61,Jamaica,/266/367/22_60.png,,C. Timite,ATA MD PD,23,63,Ivory Coast,/233/121/22_60.png,,T. Ducrocq,VOL MC,21,62,France,/247/369/22_60.png,,M. Mbow,ZAG,21,62,Senegal,/247/248/22_60.png,,
a,S. Sanna,LD VOL,22,61,France,/252/599/22_60.png,,S. Yatabaré,MC,32,63,Mali,/192/611/22_60.png,,M. Diongue,VOL MC,29,62,France,/262/347/22_60.png,,L. Delpech,MC MEI,18,61,France,/263/600/22_60.png,,
a,L. Costa,ZAG,20,59,France,/243/923/22_60.png,,H. Konaté,GOL,26,63,Ivory Coast,/224/068/22_60.png,,A. Roncaglia,VOL,21,60,France,/262/342/22_60.png,,E. Philibert,ZAG VOL,19,59,France,/264/508/22_60.png,,
a,S. Mvoué,MC MEI,19,59,Cameroon,/257/507/22_60.png,,A. Linguet,LD LD,21,63,France,/248/662/22_60.png,,F. Magri,ATA,21,60,France,/266/299/22_60.png,,P. Zaidan,LE,20,57,Guinea,/263/599/22_60.png,,
a,T. Rapnouil,VOL LE ME,20,58,France,/261/332/22_60.png,,M. Picouleau,MC,21,62,France,/257/177/22_60.png,,A. Jourda,LD,19,57,France,/262/341/22_60.png,,,,,,,,,
a,M. Bangré,PD,20,58,France,/261/815/22_60.png,,M. Kaba,VOL MC,19,62,France,/263/469/22_60.png,,G. Fontana,GOL,18,52,France,/266/057/22_60.png,,,,,,,,,
a,G. Restes,GOL,16,53,France,/265/526/22_60.png,,G. Arib,MC,21,61,France,/245/453/22_60.png,,,,,,,,,,,,,,,,
a,,,,,,,,Y. Haouari,ATA,18,58,France,/262/229/22_60.png,,,,,,,,,,,,,,,,
a,,,,,,,,A. Zinga,ATA,20,57,France,/256/141/22_60.png,,,,,,,,,,,,,,,,
a,,,,,,,,I. Hamache,PD,18,57,France,/264/501/22_60.png,,,,,,,,,,,,,,,,
a,,,,,,,,J. Kalai,MEI,20,56,France,/266/738/22_60.png,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

