a,Melbourne Victory,,,,,,,Sydney FC,,,,,,,Melbourne City,,,,,,,Western Sydney Wanderers,,,,,,,Adelaide United,,,,,,,Auckland City,,,,,,,
a,Nani,ME MD,35,77,Portugal,/139/068/23_60.png,,R. Mak,PD MD ME,31,70,Slovakia,/198/193/23_60.png,,J. Maclaren,ATA,28,75,Australia,/212/232/23_60.png,,Marcelo,ZAG,35,72,Brazil,/180/334/23_60.png,,C. Goodwin,ME MD,30,75,Australia,/209/888/23_60.png,,Charlie Austin,ATA,33,74,England,wiki/42810.png,,
a,C. Ikonomidis,MD ATA ME,27,70,Australia,/228/171/23_60.png,,A. Wilkinson,ZAG,37,69,Australia,/181/479/23_60.png,,V. Berisha,MC VOL,29,72,Kosovo,/191/783/23_60.png,,R. Amalfitano,MEI VOL,32,70,France,/198/817/23_60.png,,Isaías,VOL MC,35,71,Spain,/203/024/23_60.png,,Matti Steinmann,MC MD,27,70,Germany,wiki/71777.png,,
a,Roderick Miranda,ZAG,31,69,Portugal,/193/143/23_60.png,,J. Lolley,MD ME MEI,29,69,England,/221/587/23_60.png,,M. Leckie,ME MD,31,71,Australia,/195/033/23_60.png,,L. Thomas,GOL,30,69,Australia,/203/423/23_60.png,,Javi López,LD,36,71,Spain,/195/361/23_60.png,,Tom Aldred,ZAG,32,70,Scotland,wiki/46613.png,,
a,J. Brimmer,MEI,24,69,Australia,/240/262/23_60.png,,R. Grant,LD,31,69,Australia,/192/241/23_60.png,,A. Nabbout,MD ME,29,69,Australia,/212/075/23_60.png,,M. Ninković,MEI,37,69,Serbia,/195/088/23_60.png,,Juande,VOL MC,35,67,Spain,/145/014/23_60.png,,Jay O'Shea,MC MEI MD,34,69,Ireland,wiki/27347.png,,
a,J. Brillante,VOL MC,29,69,Australia,/203/308/23_60.png,,L. Brattan,VOL MC,32,68,Australia,/199/159/23_60.png,,C. Good,ZAG,29,69,Australia,/203/224/23_60.png,,A. Traoré,LE,32,68,Ivory Coast,/193/177/23_60.png,,B. Halloran,MD PD,30,66,Australia,/203/309/23_60.png,,Scott Neville,LD LD,33,69,Australia,wiki/40120.png,,
a,N. D'Agostino,ATA,24,68,Australia,/231/582/23_60.png,,A. Le Fondre,ATA,35,68,England,/163/828/23_60.png,,F. Berenguer,MEI MC VOL,33,69,France,/193/427/23_60.png,,R. Williams,ZAG,33,68,Australia,/173/703/23_60.png,,J. Gauci,GOL,21,65,Australia,/243/917/23_60.png,,Nikola Mileusnic,ATA MEI,29,69,Australia,wiki/88179.png,,
a,P. Izzo,GOL,27,67,Australia,/204/424/23_60.png,,A. Caceres,MEI MC VOL,29,68,Australia,/209/886/23_60.png,,Nuno Reis,ZAG,31,69,Portugal,/197/062/23_60.png,,Y. Ngbakoto,MD ME ATA,30,68,Democratic Republic Congo,/192/938/23_60.png,,H. Ibusuki,ATA,31,64,Japan,/190/644/23_60.png,,Connor Chapman,VOL ZAG,28,68,Australia,wiki/64382.png,,
a,M. Spiranovic,ZAG,34,66,Australia,/179/840/23_60.png,,J. Rodwell,ZAG VOL MC,31,68,England,/183/465/23_60.png,,S. Jamieson,LE,33,67,Australia,/178/589/23_60.png,,B. Borrello,MD ATA ME,26,67,Australia,/220/708/23_60.png,,Z. Clough,MEI ATA ME,27,63,England,/212/803/23_60.png,,Rahmat Akbari,MEI MC,22,68,Australia,wiki/93170.png,,
a,Kadete,LE ZAG,28,66,Spain,/250/845/23_60.png,,Diego Caballo,LE ME,28,66,Spain,/244/466/23_60.png,,A. O'Neill,VOL MC,23,67,Australia,/230/888/23_60.png,,O. Bozanic,MC,33,66,Australia,/179/903/23_60.png,,R. Kitto,LE ME,27,63,Australia,/220/819/23_60.png,,Kai Trewin,VOL ZAG,21,68,Australia,wiki/107408.png,,
a,B. Folami,ME,23,66,Australia,/240/580/23_60.png,,M. Burgess,MEI MC,27,65,Australia,/225/757/23_60.png,,T. Lam,ZAG VOL,28,67,Finland,/208/018/23_60.png,,S. Krpić,ATA,31,65,Bosnia,/238/034/23_60.png,,L. D'Arrigo,VOL MC,20,63,Australia,/242/240/23_60.png,,Jack Hingert,MD LD LE,32,68,Sri Lanka,wiki/43540.png,,
a,J. Geria,LD ZAG,29,65,Australia,/212/511/23_60.png,,A. Redmayne,GOL,33,65,Australia,/183/244/23_60.png,,R. van der Venne,MEI MC,30,65,Netherlands,/255/313/23_60.png,,T. Mrčela,ZAG,31,64,Australia,/228/887/23_60.png,,N. Ansell,ZAG,28,63,Australia,/205/049/23_60.png,,Cameron Howieson,MEI MC,27,67,New Zealand,wiki/59022.png,,
a,Rai Marchán,VOL MC,28,64,Spain,/263/708/23_60.png,,J. Donachie,ZAG,29,63,Australia,/211/793/23_60.png,,M. Tilio,ME MD MEI,20,65,Australia,/246/009/23_60.png,,D. Margush,GOL,24,64,Australia,/231/914/23_60.png,,J. Delianov,GOL,22,62,Australia,/239/019/23_60.png,,Emiliano Tade,ATA ATA,34,67,Argentina,wiki/57702.png,,
a,T. Jurić,ATA,30,63,Australia,/213/321/23_60.png,,P. Retre,VOL MC,29,63,Australia,/213/281/23_60.png,,S. Galloway,LD LE,27,64,Australia,/212/923/23_60.png,,T. Russell,LD,22,63,Australia,/243/785/23_60.png,,L. Barr,ZAG,27,61,Australia,/240/695/23_60.png,,Jesse Daley,MC MD,25,67,Australia,wiki/106518.png,,
