a,Reggina,,,,,,,Salernitana,,,,,,,SPAL,,,,,,,Spezia,,,,,,,Vicenza,,,,,,,Venezia FC,,,,,,,Pordenone,,,,,,,Ternana,,,,,,,Alessandria,,,,,,,
a,Junior Hernani,MC MD,28,78,Brazil,wiki/77134.png,,A. Candreva,MD MC,35,80,Italy,/173/221/23_60.png,,Andrea la Mantia,ATA,31,76,Italy,wiki/48938.png,,B. Drągowski,GOL,24,75,Poland,/215/502/23_60.png,,Michele Cavion,MEI MC,27,74,Italy,wiki/70775.png,,D. Cheryshev,ME PE,31,75,Russia,/206/225/23_60.png,,Roberto Zammarini,MC MEI MD,26,73,Italy,wiki/80854.png,,Alfredo Donnarumma,ATA,31,76,Italy,wiki/46445.png,,Raffaele di Gennaro,GOL,29,74,Italy,wiki/68652.png,,
a,Riccardo Gagliolo,LE LE,32,76,Sweden,wiki/69292.png,,B. Dia,ATA PD,25,79,Senegal,/246/242/23_60.png,,Niccola Zanellato,MC MD,24,75,Italy,wiki/84665.png,,M. Caldara,ZAG,28,75,Italy,/220/477/23_60.png,,Daniel Cappelletti,ZAG,31,72,Italy,wiki/46265.png,,M. Aramu,MEI PD,27,74,Italy,/219/984/23_60.png,,Arlind Ajeti,LD,29,72,Albania,wiki/52828.png,,Bruno Martella,MD MC PE ZAG,30,75,Italy,wiki/57606.png,,Marco Toscano,VOL ZAG,25,71,Italy,wiki/86746.jpg,,
a,Gianluca di Chiara,MD LE LE,28,75,Italy,wiki/53580.png,,G. Maggiore,MC VOL,24,77,Italy,/236/368/23_60.png,,Lorenzo Dickmann,MD LD LE,26,75,Italy,wiki/80853.png,,A. Ekdal,MC VOL,32,75,Sweden,/181/318/23_60.png,,Ronaldo Pompeu,MC MD,32,72,Brazil,wiki/46264.jpg,,D. Johnsen,PE PD,24,73,Norway,/237/502/23_60.png,,Amedeo Benedetti,MD LE ZAG,30,72,Italy,wiki/53465.png,,Mamadou Coulibaly,MC MEI MD,23,75,Senegal,wiki/90960.png,,Giovanni Formiconi,MD LD ZAG,32,71,Italy,wiki/43363.png,,
a,Thiago Cionek,ZAG,36,75,Poland,wiki/37766.png,,T. Vilhena,ME MC,27,76,Netherlands,/203/535/23_60.png,,Luca Valzania,MC MEI MD,26,75,Italy,wiki/74975.png,,D. Verde,PD MD MEI,26,75,Italy,/225/844/23_60.png,,Matteo Grandi,GOL,30,72,Italy,wiki/63451.png,,J. Pohjanpalo,ATA,27,73,Finland,/220/165/23_60.png,,Salvatore Burrai,MC MD,35,72,Italy,wiki/19165.png,,Cesar Falletti,MEI MC,29,75,Uruguay,wiki/62207.jpg,,Andrea Signorini,ZAG,32,70,Italy,wiki/42466.png,,
a,Lorenzo Crisetig,MC MD,29,75,Italy,wiki/47930.png,,F. Ribéry,ATA ATA MEI,39,76,France,/156/616/23_60.png,,Salvatore Esposito,MC MD,22,75,Italy,wiki/99614.png,,M. Nzola,ATA,25,74,Angola,/240/452/23_60.png,,Nicola Dalmonte,ATA ATA,25,72,Italy,wiki/81620.png,,R. Haps,LE,29,73,Suriname,/210/384/23_60.png,,Marco Pinato,LE ME ZAG,27,72,Italy,wiki/76364.png,,Francesco Cassata,MEI MC,25,75,Italy,wiki/86813.png,,Luzayadio Bangu,MC MEI MD,25,70,Democratic Republic Congo,wiki/93916.png,,
a,Joel Obi,MC MD,31,75,Nigeria,wiki/46003.png,,K. Piątek,ATA,27,75,Poland,/223/113/23_60.png,,Fabio Maistro,MEI MC,24,74,Italy,wiki/91039.png,,E. Ampadu,VOL MC ZAG,21,73,Wales,/235/735/23_60.png,,Loris Zonta,MC VOL,25,71,Italy,wiki/84690.jpg,,G. Busio,MC VOL,20,73,United States,/242/332/23_60.png,,Alessandro Bassoli,LE,32,72,Italy,wiki/44745.png,,Francesco di Tacchio,MC MD,32,75,Italy,wiki/39279.png,,Leonardo Nunzella,MD LE LE,30,69,Italy,wiki/64441.png,,
a,Žan Majer,MC MEI MD,30,75,Slovenia,wiki/59739.png,,L. Sepe,GOL,31,74,Italy,/191/011/23_60.png,,Federico Proia,MEI MC,26,74,Italy,wiki/98612.png,,K. Amian,LD MD LD,24,73,France,/231/235/23_60.png,,Stefano Giacomelli,ATA ATA,32,71,Italy,wiki/46573.png,,P. Ceccaroni,ZAG,26,72,Italy,/219/956/23_60.png,,Simone Palombi,ATA MEI,26,72,Italy,wiki/81643.png,,Andrea Favilli,ATA,25,75,Italy,wiki/84673.jpg,,Nicola Malaccari,ME,30,69,Italy,wiki/54208.png,,
a,Federico Ricci,ATA ATA,28,75,Italy,wiki/70635.png,,F. Fazio,ZAG,35,74,Argentina,/179/847/23_60.png,,Alberto Almici,LD ZAG,29,74,Italy,wiki/54941.png,,E. Gyasi,MD ME ATA,28,73,Ghana,/220/491/23_60.png,,Mario Ierardi,LD,24,70,Italy,wiki/84623.png,,J. Joronen,GOL,29,72,Finland,/199/904/23_60.png,,Roberto Pirrello,LD LD,26,70,Italy,wiki/84615.jpg,,Frederik Sörensen,LD,30,74,Denmark,wiki/46695.png,,Luca Liverani,GOL,33,69,Italy,wiki/69419.png,,
a,Michele Camporese,ZAG,30,74,Italy,wiki/47001.png,,F. Bonazzoli,ATA ATA,25,73,Italy,/223/137/23_60.png,,Biagio Meccariello,LD,31,74,Italy,wiki/58529.png,,A. Reca,ME LE LE,27,72,Poland,/234/760/23_60.png,,Emanuele Padella,ZAG,34,70,Italy,wiki/46126.png,,F. Zampano,LD LE,28,72,Italy,/219/655/23_60.png,,Marco Festa,GOL,30,70,Italy,wiki/60918.png,,Marino Defendi,MEI MC,37,74,Italy,wiki/13784.png,,Simone Sini,LE,30,69,Italy,wiki/45652.png,,
a,Federico Santander,ATA,31,74,Paraguay,wiki/38198.png,,J. Sambia,LD LD MD,25,73,France,/223/570/23_60.png,,Gabriele Moncini,ATA,26,74,Italy,wiki/78536.png,,K. Agudelo,MEI MC,23,72,Colombia,/243/253/23_60.png,,Nicola Pasini,LD,31,70,Italy,wiki/54051.png,,M. Cuisance,MC MEI,22,72,France,/239/744/23_60.png,,Francesco Deli,MEI MC,28,70,Italy,wiki/72810.png,,Luca Ghiringhelli,LD ZAG,30,74,Italy,wiki/52684.png,,Francesco,ATA,29,68,Italy,wiki/58462_1352208880.jpg,,
